"PROBEID","GENENAME"
"1","10000_at","JIP3"
"2","10001_at","MID2"
"3","10002_i_at","RPS25B"
"4","10003_f_at","RPS25B"
"5","10004_at",NA
"6","10005_at","NUP2"
"7","10006_at","SGD1"
"8","10007_at","VRP1"
"9","10008_at","OPI9"
"10","10009_at",NA
"11","10010_at","ATP14"
"12","10011_at",NA
"13","10012_at",NA
"14","10013_at","YHC1"
"15","10014_at","ECM38"
"16","10015_at","EXG1"
"17","10016_at","HRI1"
"18","10017_at",NA
"19","10018_at","MET17"
"20","10019_at","ACO1"
"21","10020_at","STT4"
"22","10021_at","UBC12"
"23","10022_at","CDA1"
"24","10023_at","CDA2"
"25","10024_at","IMH1"
"26","10025_at","CDC25"
"27","10026_at",NA
"28","10027_at","ATG39"
"29","10028_at","SPH1"
"30","10029_at","CDC3"
"31","10030_at","NKP2"
"32","10031_at","TAD3"
"33","10032_at","MCM5"
"34","10033_at","SMD2"
"35","10034_at","DBP9"
"36","10035_at","YSH1"
"37","10036_at",NA
"38","10037_at",NA
"39","10038_i_at",NA
"40","10039_s_at",NA
"41","10040_at",NA
"42","10041_at",NA
"43","10042_at",NA
"44","10043_at","ECI1"
"45","10044_at","NNT1"
"46","10045_at","CTS1"
"47","10046_at",NA
"48","10047_f_at","RPS30A"
"49","10048_at","MEC3"
"50","10049_at","GUF1"
"51","10050_at","COQ11"
"52","10051_at","GCD7"
"53","10052_at","SEC72"
"54","10053_at","GSP1"
"55","10054_at",NA
"56","10055_at","MCP2"
"57","10056_at","NDL1"
"58","10057_at",NA
"59","10058_at","HAP1"
"60","10059_at",NA
"61","10060_at","GSY2"
"62","10061_at","HSP60"
"63","10062_at","LCB5"
"64","10063_i_at","VPS63"
"65","10064_s_at","VPS63"
"66","10065_at","YPT6"
"67","10066_s_at","TMA7"
"68","10067_at","RED1"
"69","10068_i_at","RPS28B"
"70","10069_f_at","RPS28B"
"71","10070_at","NEJ1"
"72","10071_at","PDR8"
"73","10072_at","BOP2"
"74","10073_at","SEC22"
"75","10074_at",NA
"76","10075_at","DCS1"
"77","10076_at","CMG1"
"78","10077_at","YCS4"
"79","10078_at","PIG1"
"80","10079_at",NA
"81","10080_at","EST1"
"82","10081_at","TOP3"
"83","10082_at",NA
"84","10083_g_at",NA
"85","10084_at",NA
"86","10085_at","THI7"
"87","10086_at","FAR10"
"88","10087_at","LIP2"
"89","10088_at","VPS34"
"90","10089_at","CSC1"
"91","10090_at","ARV1"
"92","10091_at","GPN3"
"93","10092_at","MAP1"
"94","10093_at","CDD1"
"95","10094_at","ERF2"
"96","10095_at","IRC20"
"97","10096_at","RCK2"
"98","10097_at","YEF3"
"99","10098_at","SSP120"
"100","10099_at","SYM1"
"101","10100_at",NA
"102","10101_at","PNP1"
"103","10102_at","CLB4"
"104","10103_at","ATG38"
"105","10104_at","TUB4"
"106","10105_at","CRR1"
"107","10106_at","FRE1"
"108","10107_at","CDC123"
"109","10108_at","CPR6"
"110","10109_at",NA
"111","10110_at","COA4"
"112","10111_at","MSC3"
"113","10112_at","CCC1"
"114","10113_at","RSA3"
"115","10114_at","UTP13"
"116","10115_at","IFH1"
"117","10116_at","UCC1"
"118","10117_at",NA
"119","10118_at","BUR2"
"120","10119_at","ADY4"
"121","10120_at","ECM22"
"122","10121_at","CDC42"
"123","10122_at",NA
"124","10123_at","BNA5"
"125","10124_at","ATG26"
"126","10125_at","MMR1"
"127","10126_at","PEX13"
"128","10127_at","HCR1"
"129","10128_at","UPS1"
"130","10129_at","NCW2"
"131","10130_at","NMT1"
"132","10131_at","PWP1"
"133","10132_at","NOP56"
"134","10133_at",NA
"135","10134_at","PBA1"
"136","10135_at","YKE2"
"137","10136_at","COQ9"
"138","10137_at",NA
"139","10138_g_at",NA
"140","10139_i_at",NA
"141","10140_r_at",NA
"142","10141_at","MSS51"
"143","10142_at","QRI5"
"144","10143_at","HMX1"
"145","10144_at","ENT2"
"146","10145_at","HRD3"
"147","10146_at","SEC13"
"148","10147_at","RPS31"
"149","10148_at","UPS2"
"150","10149_at",NA
"151","10150_at","APS1"
"152","10151_at",NA
"153","10152_at","DPH5"
"154","10153_at",NA
"155","10154_at","IDP2"
"156","10155_at","CBF5"
"157","10156_at","RFX1"
"158","10157_at",NA
"159","10158_at","TFS1"
"160","10159_at",NA
"161","10160_at","SAM1"
"162","10161_g_at","SAM1"
"163","10162_at","VTA1"
"164","10163_at","SWI6"
"165","10164_at","TOS4"
"166","10165_at",NA
"167","10166_at","RPL37A"
"168","10167_at","EMG1"
"169","10168_at","SKG3"
"170","10169_at","MDL1"
"171","10170_g_at",NA
"172","10171_at","RRN5"
"173","10172_at","PUT1"
"174","10173_at","DPH6"
"175","10174_at","ACF2"
"176","10175_at","RMP1"
"177","10176_at","SPE4"
"178","10177_at","SMD3"
"179","10178_at","PEP3"
"180","10179_at",NA
"181","10180_at","STM1"
"182","10181_at","PCD1"
"183","10182_at",NA
"184","10183_at","ACS2"
"185","10184_at","RNH203"
"186","10185_s_at","ASP3-1"
"187","10186_s_at",NA
"188","10187_at",NA
"189","10188_at","MAS1"
"190","10189_at","SHH4"
"191","10190_at","PUS5"
"192","10191_at","SEC10"
"193","10192_at","SRN2"
"194","10193_at","YPS1"
"195","10194_at","YPS3"
"196","10195_at",NA
"197","10196_g_at",NA
"198","10197_at",NA
"199","10198_at",NA
"200","10199_at",NA
"201","10200_at",NA
"202","10201_at","APC2"
"203","10202_at","DCN1"
"204","10203_at","DIP2"
"205","10204_at","ZRT2"
"206","10205_at","ACE2"
"207","10206_at","USB1"
"208","10207_at","CKI1"
"209","10208_at","PDC5"
"210","10209_at","SLX4"
"211","10210_at","TIS11"
"212","10211_at","RKM5"
"213","10212_at","NHA1"
"214","10213_at","SLS1"
"215","10214_at",NA
"216","10215_at","KIN2"
"217","10216_at","HRT3"
"218","10217_at","CHA4"
"219","10218_at","ICT1"
"220","10219_at","ERG27"
"221","10220_at",NA
"222","10221_at","APC9"
"223","10222_at","CDC45"
"224","10223_at","LCL2"
"225","10224_at","SEN2"
"226","10225_at","MDN1"
"227","10226_at","REX3"
"228","10227_at",NA
"229","10228_at","AHP1"
"230","10229_at","CCW12"
"231","10230_at",NA
"232","10231_at",NA
"233","10232_at","HOG1"
"234","10233_at","AVL9"
"235","10234_at","CFT2"
"236","10235_at","MSL5"
"237","10236_at","CLF1"
"238","10237_at",NA
"239","10238_at","BUD20"
"240","10239_at","RPL10"
"241","10240_at",NA
"242","10241_at","FMP25"
"243","10242_at","BOS1"
"244","10243_at","SIC1"
"245","10244_at","EMP46"
"246","10245_at","GAL2"
"247","10246_at","SRL2"
"248","10247_at","EMP70"
"249","10248_at","RAX2"
"250","10249_at","ARP6"
"251","10250_at","SMC4"
"252","10251_at","CSF1"
"253","10252_at","GAA1"
"254","10253_at","ALT1"
"255","10254_at","XDJ1"
"256","10255_at","GEP5"
"257","10256_at","SUL2"
"258","10257_at","NYV1"
"259","10258_at","GIS3"
"260","10259_at","IOC2"
"261","10260_at","FCF2"
"262","10261_at","IES3"
"263","10262_at",NA
"264","10263_at","OSW2"
"265","10264_at","SPT8"
"266","10265_at","ERG3"
"267","10266_at","MNL2"
"268","10267_at","SHM2"
"269","10268_at","REX2"
"270","10269_at","FRS1"
"271","10270_at","RPL22A"
"272","10271_at","BUD28"
"273","10272_at","BMT6"
"274","10273_at","PER33"
"275","10274_at","ENV10"
"276","10275_at","SPC3"
"277","10276_at","PET309"
"278","10277_at","FYV7"
"279","10278_at","MEF1"
"280","10279_at","XYL2"
"281","10280_at","RGR1"
"282","10281_at","LAM6"
"283","10282_at","RFU1"
"284","10283_at",NA
"285","10284_at","RAD5"
"286","10285_at","RSC58"
"287","10286_at","SMF3"
"288","10287_at","MLH2"
"289","10288_at",NA
"290","10289_f_at","PAU23"
"291","10290_at","COX12"
"292","10291_at","RIC1"
"293","10292_at","AFB1"
"294","10293_at",NA
"295","10294_at",NA
"296","10295_at","TRX1"
"297","10296_at","PDC1"
"298","10297_at","STU2"
"299","10298_at",NA
"300","10299_at","FRE8"
"301","10300_f_at","RPS0B"
"302","10301_at","RPS0B"
"303","10302_g_at","RPS0B"
"304","10303_at",NA
"305","10304_at",NA
"306","10305_at","RLP24"
"307","10306_at","TEN1"
"308","10307_at","LOT6"
"309","10308_at",NA
"310","10309_at","GAT3"
"311","10310_at","PPR1"
"312","10311_at","BRE2"
"313","10312_at","PML1"
"314","10313_at","MEU1"
"315","10314_at","POM34"
"316","10315_at","PSR2"
"317","10316_at","YEH2"
"318","10317_at","IRC25"
"319","10318_at","SDO1"
"320","10319_at","IZH3"
"321","10320_at","UBR2"
"322","10321_at","SNF7"
"323","10322_at","SED5"
"324","10323_at","AAT2"
"325","10324_at","ADE16"
"326","10325_at","RPL15A"
"327","10326_g_at","RPL15A"
"328","10327_at",NA
"329","10328_at","BPT1"
"330","10329_at","EMC6"
"331","10330_at","PUF3"
"332","10331_at","YEH1"
"333","10332_at","SOF1"
"334","10333_at","PSR1"
"335","10334_at","COX17"
"336","10335_at","DRS1"
"337","10336_at","LMO1"
"338","10337_at","MMM1"
"339","10338_at","SPO75"
"340","10339_at","ORC3"
"341","10340_at","SFI1"
"342","10341_at","RTT109"
"343","10342_at","DNM1"
"344","10343_at",NA
"345","10344_at","NOC3"
"346","10345_at","CMS1"
"347","10346_at","THI73"
"348","10347_at","SSL1"
"349","10348_at","SSK1"
"350","10349_at","NSE1"
"351","10350_at","PAM18"
"352","10351_at","GRC3"
"353","10352_at","RIX7"
"354","10353_at","IRC19"
"355","10354_at",NA
"356","10355_at","GPI13"
"357","10356_at","RRT7"
"358","10357_at","FRA1"
"359","10358_at","TPO1"
"360","10359_at","ISA1"
"361","10360_at","HSP104"
"362","10361_f_at","PAU17"
"363","10362_at","SSA2"
"364","10363_at","POM33"
"365","10364_at","HIF1"
"366","10365_at","SPA2"
"367","10366_i_at",NA
"368","10367_r_at",NA
"369","10368_s_at",NA
"370","10369_at","KNS1"
"371","10370_at","DPS1"
"372","10371_at",NA
"373","10372_at","SDC25"
"374","10373_at","JLP1"
"375","10374_at",NA
"376","10375_at","YCT1"
"377","10376_at",NA
"378","10377_at",NA
"379","10378_at","AQY2"
"380","10379_at","FRE6"
"381","10380_at","COF1"
"382","10381_at","LDB18"
"383","10382_at","YBT1"
"384","10383_at",NA
"385","10384_at","RNP1"
"386","10385_i_at","RPL8B"
"387","10386_s_at","RPL8B"
"388","10387_at",NA
"389","10388_at","FPS1"
"390","10389_at","ATG10"
"391","10390_at","SDH2"
"392","10391_at","VPS13"
"393","10392_at","UBI4"
"394","10393_at","ENT4"
"395","10394_at",NA
"396","10395_at","PRP19"
"397","10396_at",NA
"398","10397_at",NA
"399","10398_at",NA
"400","10399_at",NA
"401","10400_at",NA
"402","10401_at",NA
"403","10402_at",NA
"404","10403_at",NA
"405","10404_at",NA
"406","10405_at",NA
"407","10406_at",NA
"408","10407_at",NA
"409","10408_at",NA
"410","10409_at",NA
"411","10410_at",NA
"412","10411_f_at",NA
"413","10412_f_at","PAU18"
"414","10413_at","AYT1"
"415","10414_at","MHT1"
"416","10415_at","MMP1"
"417","10416_at","GTT2"
"418","10417_at",NA
"419","10418_at",NA
"420","10419_at",NA
"421","10420_at",NA
"422","10421_at",NA
"423","10422_at",NA
"424","10423_at",NA
"425","10424_at",NA
"426","10425_at",NA
"427","10426_at",NA
"428","10427_at",NA
"429","10428_at",NA
"430","10429_at",NA
"431","10430_at",NA
"432","10431_at",NA
"433","10432_at",NA
"434","10433_at",NA
"435","10434_at",NA
"436","10435_at",NA
"437","10436_at",NA
"438","10437_at",NA
"439","10438_at",NA
"440","10439_at",NA
"441","10440_at",NA
"442","10441_at",NA
"443","10442_s_at",NA
"444","10443_at",NA
"445","10444_at","OPI8"
"446","10445_s_at","MNN4"
"447","10446_s_at",NA
"448","10447_s_at","PTK1"
"449","10448_s_at",NA
"450","10449_at",NA
"451","10450_at",NA
"452","10451_at",NA
"453","10452_at",NA
"454","10453_at",NA
"455","10454_at",NA
"456","10455_at",NA
"457","10456_at",NA
"458","10457_at",NA
"459","10458_at",NA
"460","10459_at",NA
"461","10460_at",NA
"462","10461_at",NA
"463","10462_at",NA
"464","10463_at",NA
"465","10464_at","MRPL20"
"466","10465_at","PRP16"
"467","10466_at","OMA1"
"468","10467_at","TVP38"
"469","10468_at","TGL4"
"470","10469_at","PXL1"
"471","10470_at","SRL3"
"472","10471_at","SRP40"
"473","10472_at","PTR2"
"474","10473_i_at","RPL40B"
"475","10474_s_at","RPL40B"
"476","10475_at","MLP1"
"477","10476_at","ESL2"
"478","10477_g_at","ESL2"
"479","10478_at","PCK1"
"480","10479_at","UBP11"
"481","10480_at","BAS1"
"482","10481_at","SKG1"
"483","10482_at","SIR1"
"484","10483_at","FLO10"
"485","10484_at","NFT1"
"486","10485_at",NA
"487","10486_s_at","VBA5"
"488","10487_at","TFA2"
"489","10488_at","LAS1"
"490","10489_at","OAF3"
"491","10490_at","PAM17"
"492","10491_at","CCP1"
"493","10492_at","GPT2"
"494","10493_at","BET3"
"495","10494_at","MET1"
"496","10495_at",NA
"497","10496_at","DRE2"
"498","10497_at","SIS2"
"499","10498_at",NA
"500","10499_at","AIM29"
"501","10500_at",NA
"502","10501_at","ECM4"
"503","10502_at","MSA2"
"504","10503_at",NA
"505","10504_at","TRZ1"
"506","10505_at","MTD1"
"507","10506_at","RPF2"
"508","10507_at","NUP133"
"509","10508_at","DAD2"
"510","10509_at","HBS1"
"511","10510_at","KAE1"
"512","10511_at","GAP1"
"513","10512_at",NA
"514","10513_at",NA
"515","10514_at","UTH1"
"516","10515_at","SHB17"
"517","10516_at","UIP5"
"518","10517_at",NA
"519","10518_at","PET10"
"520","10519_at",NA
"521","10520_at","NAP1"
"522","10521_at","FMP46"
"523","10522_at","TRK2"
"524","10523_at",NA
"525","10524_at","MRS4"
"526","10525_at","YSR3"
"527","10526_at","DYN1"
"528","10527_at","RHO4"
"529","10528_at","TRM2"
"530","10529_i_at","RPS21A"
"531","10530_at","GLG1"
"532","10531_at","UTP30"
"533","10532_at","KTR2"
"534","10533_at","MIC60"
"535","10534_at","HEL1"
"536","10535_at",NA
"537","10536_at","IRS4"
"538","10537_at","VPS51"
"539","10538_at","ALY1"
"540","10539_at","NTR2"
"541","10540_at",NA
"542","10541_at","DBP7"
"543","10542_at","RPC37"
"544","10543_at","GCN3"
"545","10544_at","BCH2"
"546","10545_at","SAP190"
"547","10546_at","SET3"
"548","10547_at","GMH1"
"549","10548_at","SPO14"
"550","10549_at",NA
"551","10550_at",NA
"552","10551_at","DAL80"
"553","10552_at","DID2"
"554","10553_at","CAF4"
"555","10554_at","SPC34"
"556","10555_at","SFT1"
"557","10556_i_at","RPL14A"
"558","10557_f_at","RPL14A"
"559","10558_s_at","RPL14A"
"560","10559_at","BYE1"
"561","10560_at","AUR1"
"562","10561_at","MRP17"
"563","10562_at","DID4"
"564","10563_at","MET14"
"565","10564_at","VPS1"
"566","10565_at","PAP1"
"567","10566_at","OSH6"
"568","10567_at","ECM9"
"569","10568_at",NA
"570","10569_at","MRPL13"
"571","10570_at","MEH1"
"572","10571_at","RSC4"
"573","10572_at","FOX2"
"574","10573_at","TOF2"
"575","10574_at",NA
"576","10575_at",NA
"577","10576_at","PRY2"
"578","10577_at","YPT52"
"579","10578_at",NA
"580","10579_at","TFA1"
"581","10580_at","TCD2"
"582","10581_at","GPX1"
"583","10582_at","PAN3"
"584","10583_at","URA6"
"585","10584_at",NA
"586","10585_at","CDC16"
"587","10586_at","MAK11"
"588","10587_at","SPT23"
"589","10588_at","RAM2"
"590","10589_at","SWD2"
"591","10590_at","HCS1"
"592","10591_at","ATP7"
"593","10592_at","PUT3"
"594","10593_at","URB1"
"595","10594_at","ARC19"
"596","10595_at","PRP40"
"597","10596_at","CCE1"
"598","10597_at","UFD4"
"599","10598_at","MRT4"
"600","10599_at","LAC1"
"601","10600_at","CAP1"
"602","10601_at","SFK1"
"603","10602_at",NA
"604","10603_at","CSE4"
"605","10604_at","ELM1"
"606","10605_at","ANR2"
"607","10606_at","DCW1"
"608","10607_at","PRI2"
"609","10608_at","MMO1"
"610","10609_at","PHD1"
"611","10610_at","SPC42"
"612","10611_at","VPS24"
"613","10612_at","NFU1"
"614","10613_at","PTM1"
