"","PROBEID","GENENAME","ORF"
"1","10000_at","JIP3","YLR331C"
"2","10001_at","MID2","YLR332W"
"3","10002_i_at","RPS25B","YLR333C"
"4","10003_f_at","RPS25B","YLR333C"
"5","10004_at",NA,"YLR334C"
"6","10005_at","NUP2","YLR335W"
"7","10006_at","SGD1","YLR336C"
"8","10007_at","VRP1","YLR337C"
"9","10008_at","OPI9","YLR338W"
"10","10009_at",NA,"YLR339C"
"11","10010_at","ATP14","YLR295C"
"12","10011_at",NA,"YLR296W"
"13","10012_at",NA,"YLR297W"
"14","10013_at","YHC1","YLR298C"
"15","10014_at","ECM38","YLR299W"
"16","10015_at","EXG1","YLR300W"
"17","10016_at","HRI1","YLR301W"
"18","10017_at",NA,"YLR302C"
"19","10018_at","MET17","YLR303W"
"20","10019_at","ACO1","YLR304C"
"21","10020_at","STT4","YLR305C"
"22","10021_at","UBC12","YLR306W"
"23","10022_at","CDA1","YLR307W"
"24","10023_at","CDA2","YLR308W"
"25","10024_at","IMH1","YLR309C"
"26","10025_at","CDC25","YLR310C"
"27","10026_at",NA,"YLR311C"
"28","10027_at","ATG39","YLR312C"
"29","10028_at","SPH1","YLR313C"
"30","10029_at","CDC3","YLR314C"
"31","10030_at","NKP2","YLR315W"
"32","10031_at","TAD3","YLR316C"
"33","10032_at","MCM5","YLR274W"
"34","10033_at","SMD2","YLR275W"
"35","10034_at","DBP9","YLR276C"
"36","10035_at","YSH1","YLR277C"
"37","10036_at",NA,"YLR278C"
"38","10037_at",NA,"YLR279W"
"39","10038_i_at",NA,"YLR280C"
"40","10039_s_at",NA,"YLR280C"
"41","10040_at",NA,"YLR281C"
"42","10041_at",NA,"YLR282C"
"43","10042_at",NA,"YLR283W"
"44","10043_at","ECI1","YLR284C"
"45","10044_at","NNT1","YLR285W"
"46","10045_at","CTS1","YLR286C"
"47","10046_at",NA,"YLR287C"
"48","10047_f_at","RPS30A","YLR287C-A"
"49","10048_at","MEC3","YLR288C"
"50","10049_at","GUF1","YLR289W"
"51","10050_at","COQ11","YLR290C"
"52","10051_at","GCD7","YLR291C"
"53","10052_at","SEC72","YLR292C"
"54","10053_at","GSP1","YLR293C"
"55","10054_at",NA,"YLR294C"
"56","10055_at","MCP2","YLR253W"
"57","10056_at","NDL1","YLR254C"
"58","10057_at",NA,"YLR255C"
"59","10058_at","HAP1","YLR256W"
"60","10059_at",NA,"YLR257W"
"61","10060_at","GSY2","YLR258W"
"62","10061_at","HSP60","YLR259C"
"63","10062_at","LCB5","YLR260W"
"64","10063_i_at","VPS63","YLR261C"
"65","10064_s_at","VPS63","YLR261C"
"66","10065_at","YPT6","YLR262C"
"67","10066_s_at","TMA7","YLR262C-A"
"68","10067_at","RED1","YLR263W"
"69","10068_i_at","RPS28B","YLR264W"
"70","10069_f_at","RPS28B","YLR264W"
"71","10070_at","NEJ1","YLR265C"
"72","10071_at","PDR8","YLR266C"
"73","10072_at","BOP2","YLR267W"
"74","10073_at","SEC22","YLR268W"
"75","10074_at",NA,"YLR269C"
"76","10075_at","DCS1","YLR270W"
"77","10076_at","CMG1","YLR271W"
"78","10077_at","YCS4","YLR272C"
"79","10078_at","PIG1","YLR273C"
"80","10079_at",NA,"YLR232W"
"81","10080_at","EST1","YLR233C"
"82","10081_at","TOP3","YLR234W"
"83","10082_at",NA,"YLR235C"
"84","10083_g_at",NA,"YLR235C"
"85","10084_at",NA,"YLR236C"
"86","10085_at","THI7","YLR237W"
"87","10086_at","FAR10","YLR238W"
"88","10087_at","LIP2","YLR239C"
"89","10088_at","VPS34","YLR240W"
"90","10089_at","CSC1","YLR241W"
"91","10090_at","ARV1","YLR242C"
"92","10091_at","GPN3","YLR243W"
"93","10092_at","MAP1","YLR244C"
"94","10093_at","CDD1","YLR245C"
"95","10094_at","ERF2","YLR246W"
"96","10095_at","IRC20","YLR247C"
"97","10096_at","RCK2","YLR248W"
"98","10097_at","YEF3","YLR249W"
"99","10098_at","SSP120","YLR250W"
"100","10099_at","SYM1","YLR251W"
"101","10100_at",NA,"YLR252W"
